Entity,Code,Year,Individuals using the Internet (% of population),time
Afghanistan,,,18.4,2020
Albania,ALB,2022,82.613686,2022
Algeria,,,70.77,2021
Andorra,,,93.89752,2021
Angola,,,32.602303,2021
Antigua and Barbuda,,,95.66339,2021
Argentina,ARG,2022,88.37536,2022
Armenia,,,78.61226,2021
Australia,,,96.24,2021
Austria,AUT,2022,93.61409,2022
Azerbaijan,,,86,2021
Bahamas,,,94.29381,2021
Bahrain,,,100,2021
Bangladesh,,,38.917446,2021
Barbados,,,85.82,2021
Belarus,BLR,2022,89.50733,2022
Belgium,BEL,2022,94.00783,2022
Belize,,,61.99417,2021
Benin,,,33.965332,2021
Bhutan,,,85.63689,2021
Bolivia,,,65.97738,2021
Bosnia and Herzegovina,BIH,2022,78.845535,2022
Botswana,,,73.5,2021
Brazil,BRA,2022,80.52775,2022
Brunei,,,98.08,2021
Bulgaria,BGR,2022,79.12686,2022
Burkina Faso,,,21.579828,2021
Burundi,,,5.8049216,2021
Cambodia,,,60.1524,2021
Cameroon,,,45.602173,2021
Canada,,,92.834015,2021
Cape Verde,,,69.76225,2021
Central African Republic,,,10.58264,2021
Chad,,,17.86888,2021
Chile,,,90.19337,2021
China,CHN,2022,75.61131,2022
Colombia,COL,2022,72.79638,2022
Comoros,,,27.336943,2021
Congo,,,8.65,2017
Costa Rica,CRI,2022,82.598015,2022
Cote d'Ivoire,CIV,2022,35.478123,2022
Croatia,HRV,2022,82.07155,2022
Cuba,,,71.11907,2021
Cyprus,CYP,2022,89.60095,2022
Czechia,CZE,2022,84.54009,2022
Democratic Republic of Congo,,,22.901585,2021
Denmark,DNK,2022,97.860115,2022
Djibouti,,,68.86318,2021
Dominica,,,80.93301,2021
Dominican Republic,,,85.24299,2021
East Timor,,,39.451313,2021
Ecuador,ECU,2022,69.71812,2022
Egypt,EGY,2022,72.19807,2022
El Salvador,,,62.880287,2021
Equatorial Guinea,,,53.9224,2021
Eritrea,,,21.730387,2021
Estonia,EST,2022,91.021286,2022
Eswatini,,,58.912914,2021
Ethiopia,,,16.698103,2021
Fiji,,,87.659966,2021
Finland,FIN,2022,92.98879,2022
France,FRA,2022,85.33331,2022
Gabon,,,71.749405,2021
Gambia,,,32.962288,2021
Georgia,GEO,2022,78.71127,2022
Germany,DEU,2022,91.629845,2022
Ghana,,,68.2,2021
Greece,GRC,2022,83.17066,2022
Greenland,,,69.48246,2017
Grenada,,,77.767235,2021
Guatemala,,,50.84165,2021
Guinea,,,34.680122,2021
Guinea-Bissau,,,35.154987,2021
Guyana,,,84.79357,2021
Haiti,,,38.94502,2021
Honduras,,,48.08352,2021
Hungary,HUN,2022,90.46084,2022
Iceland,,,99.68702,2021
India,,,46.31,2021
Indonesia,IDN,2022,66.48461,2022
Iran,,,78.59573,2021
Iraq,IRQ,2022,78.715614,2022
Ireland,,,95.16956,2021
Israel,,,90.2969,2021
Italy,ITA,2022,85.060745,2022
Jamaica,,,82.36072,2021
Japan,,,82.91408,2021
Jordan,,,86,2021
Kazakhstan,KAZ,2022,92.29685,2022
Kenya,,,28.757528,2021
Kiribati,,,53.627037,2021
Kosovo,,,89.44303,2018
Kuwait,,,99.7,2021
Kyrgyzstan,,,77.92036,2021
Laos,,,62,2021
Latvia,LVA,2022,91.03009,2022
Lebanon,,,86.58903,2021
Lesotho,,,47.982998,2021
Liberia,,,33.63316,2021
Libya,,,,2022
Liechtenstein,,,95.569374,2021
Lithuania,LTU,2022,87.724205,2022
Luxembourg,LUX,2022,98.242035,2022
Madagascar,,,19.730167,2021
Malawi,,,24.405602,2021
Malaysia,MYS,2022,97.39864,2022
Maldives,,,85.76058,2021
Mali,,,34.49,2021
Malta,MLT,2022,91.54076,2022
Marshall Islands,,,38.701164,2017
Mauritania,,,58.75819,2021
Mauritius,,,67.58,2021
Mexico,,,75.6265,2021
Micronesia (country),,,40.40962,2021
Moldova,,,61.28776,2021
Monaco,,,86.09549,2021
Mongolia,,,81.60682,2021
Montenegro,MNE,2022,88.221924,2022
Morocco,,,88.13032,2021
Mozambique,,,17.372837,2021
Myanmar,,,44.021675,2021
Namibia,,,52.97348,2021
Nauru,,,83.93522,2021
Nepal,,,51.63136,2021
Netherlands,NLD,2022,92.519684,2022
New Caledonia,,,82.005844,2017
New Zealand,,,95.9102,2021
Nicaragua,,,57.14685,2021
Niger,,,22.386139,2021
Nigeria,,,55.363712,2021
North Korea,,,,2022
North Macedonia,,,83.01821,2021
Norway,NOR,2022,98.99998,2022
Oman,,,96.38007,2021
Pakistan,,,21.037207,2021
Palau,,,,2022
Palestine,PSE,2022,88.646904,2022
Panama,,,67.50973,2021
Papua New Guinea,,,32.05416,2021
Paraguay,PRY,2022,76.25916,2022
Peru,PER,2022,74.67495,2022
Philippines,,,52.67574,2021
Poland,POL,2022,86.94114,2022
Portugal,PRT,2022,84.49691,2022
Puerto Rico,,,84.78667,2021
Qatar,,,100,2021
Romania,ROU,2022,85.50309,2022
Russia,RUS,2022,90.41799,2022
Rwanda,,,30.461817,2021
Saint Kitts and Nevis,,,79.47307,2021
Saint Lucia,,,78.095604,2021
Saint Vincent and the Grenadines,,,84.91281,2021
Samoa,,,78.245735,2021
San Marino,,,74.86233,2021
Sao Tome and Principe,,,51.20409,2021
Saudi Arabia,SAU,2022,100,2022
Senegal,,,58.054817,2021
Serbia,SRB,2022,83.53825,2022
Seychelles,,,81.59307,2021
Sierra Leone,,,18,2020
Singapore,SGP,2022,95.953865,2022
Slovakia,,,88.925606,2021
Slovenia,SVN,2022,88.91242,2022
Solomon Islands,,,36.131954,2021
Somalia,,,2.0040486,2017
South Africa,,,72.31049,2021
South Korea,KOR,2022,97.16856,2022
South Sudan,,,6.5,2020
Spain,ESP,2022,94.48554,2022
Sri Lanka,,,44.453087,2021
Sudan,,,28.4,2020
Suriname,,,65.939804,2021
Sweden,SWE,2022,95.009705,2022
Switzerland,,,95.569374,2021
Syria,,,35.78,2020
Tajikistan,,,21.96,2017
Tanzania,,,31.633131,2021
Thailand,THA,2022,87.97728,2022
Togo,,,34.984055,2021
Tonga,,,71.58658,2021
